dataset,model_size,milestone,vocab_size,seed,acc
babylm3,60m,1500,16000,1,0.7358507462686568
babylm3,60m,1500,16000,2,0.7215522388059702
babylm3,60m,1750,16000,0,0.7257611940298507
babylm3,60m,1750,16000,1,0.7250149253731343
babylm3,60m,1750,16000,2,0.7263731343283583
babylm3,60m,2000,16000,0,0.7247014925373134
babylm3,60m,2000,16000,1,0.7319850746268657
babylm3,60m,2000,16000,2,0.7271940298507462
babylm3,60m,final,16000,0,0.7382238805970149
babylm3,60m,final,16000,1,0.7358507462686568
babylm3,60m,final,16000,2,0.7306567164179104
babylm3,60m,25,32000,0,0.5682686567164179
babylm3,60m,25,32000,1,0.5717313432835821
babylm3,60m,25,32000,2,0.5813582089552238
babylm3,60m,50,32000,0,0.658179104477612
babylm3,60m,50,32000,1,0.6486567164179105
babylm3,60m,50,32000,2,0.644910447761194
babylm3,60m,75,32000,0,0.6845970149253732
babylm3,60m,75,32000,1,0.6729253731343283
babylm3,60m,75,32000,2,0.674
babylm3,60m,100,32000,0,0.7044328358208956
babylm3,60m,100,32000,1,0.6820597014925374
babylm3,60m,100,32000,2,0.7013582089552238
babylm3,60m,250,32000,0,0.7372388059701492
babylm3,60m,250,32000,1,0.7174626865671642
babylm3,60m,250,32000,2,0.7185820895522388
babylm3,60m,500,32000,0,0.7490149253731343
babylm3,60m,500,32000,1,0.7082238805970149
babylm3,60m,500,32000,2,0.7325970149253731
babylm3,60m,750,32000,0,0.7376865671641791
babylm3,60m,750,32000,1,0.7170746268656717
babylm3,60m,750,32000,2,0.7215074626865672
babylm3,60m,1000,32000,0,0.7423731343283582
babylm3,60m,1000,32000,1,0.7186716417910448
babylm3,60m,1000,32000,2,0.729089552238806
babylm3,60m,1250,32000,0,0.7386865671641791
babylm3,60m,1250,32000,1,0.7108059701492537
babylm3,60m,1250,32000,2,0.7115970149253731
babylm3,60m,1500,32000,0,0.7268507462686568
babylm3,60m,1500,32000,1,0.715
babylm3,60m,1500,32000,2,0.7213731343283583
babylm3,60m,1750,32000,0,0.7336268656716418
babylm3,60m,1750,32000,1,0.7101044776119403
babylm3,60m,1750,32000,2,0.713820895522388
babylm3,60m,2000,32000,0,0.7231492537313433
babylm3,60m,2000,32000,1,0.713
babylm3,60m,2000,32000,2,0.7161194029850746
babylm3,60m,final,32000,0,0.7338656716417911
babylm3,60m,final,32000,1,0.7049402985074626
babylm3,60m,final,32000,2,0.726820895522388
babylm3,60m,25,50257,0,0.5725820895522388
babylm3,60m,25,50257,1,0.566
babylm3,60m,25,50257,2,0.576820895522388
babylm3,60m,50,50257,0,0.6396865671641792
babylm3,60m,50,50257,1,0.6428208955223881
babylm3,60m,50,50257,2,0.6402388059701493
babylm3,60m,75,50257,0,0.6763134328358209
babylm3,60m,75,50257,1,0.6747313432835821
babylm3,60m,75,50257,2,0.6782089552238806
babylm3,60m,100,50257,0,0.6722686567164179
babylm3,60m,100,50257,1,0.690865671641791
babylm3,60m,100,50257,2,0.6897462686567164
babylm3,60m,250,50257,0,0.7132537313432836
babylm3,60m,250,50257,1,0.7147611940298507
babylm3,60m,250,50257,2,0.7159701492537314
babylm3,60m,500,50257,0,0.715
babylm3,60m,500,50257,1,0.7089850746268657
babylm3,60m,500,50257,2,0.7121044776119403
babylm3,60m,750,50257,0,0.7224477611940299
babylm3,60m,750,50257,1,0.7164477611940299
babylm3,60m,750,50257,2,0.7135223880597015
babylm3,60m,1000,50257,0,0.7237910447761194
babylm3,60m,1000,50257,1,0.7216567164179104
babylm3,60m,1000,50257,2,0.7016417910447761
babylm3,60m,1250,50257,0,0.7203880597014926
babylm3,60m,1250,50257,1,0.7075820895522388
babylm3,60m,1250,50257,2,0.7139402985074627
babylm3,60m,1500,50257,0,0.7151044776119403
babylm3,60m,1500,50257,1,0.6903432835820895
babylm3,60m,1500,50257,2,0.6964179104477612
babylm3,60m,1750,50257,0,0.7152089552238806
babylm3,60m,1750,50257,1,0.7031194029850746
babylm3,60m,1750,50257,2,0.7023582089552238
babylm3,60m,2000,50257,0,0.7044776119402985
babylm3,60m,2000,50257,1,0.7137462686567164
babylm3,60m,2000,50257,2,0.6934328358208955
babylm3,60m,final,50257,0,0.7208955223880597
babylm3,60m,final,50257,1,0.7204925373134329
babylm3,60m,final,50257,2,0.7093880597014925
babylm3,20m,25,16000,0,0.6395074626865672
babylm3,20m,25,16000,1,0.622955223880597
babylm3,20m,25,16000,2,0.6319701492537313
babylm3,20m,50,16000,0,0.6635820895522389
babylm3,20m,50,16000,1,0.6459850746268657
babylm3,20m,50,16000,2,0.6674477611940298
babylm3,20m,75,16000,0,0.6927910447761194
babylm3,20m,75,16000,1,0.682820895522388
babylm3,20m,75,16000,2,0.6777164179104478
babylm3,20m,100,16000,0,0.6862835820895522
babylm3,20m,100,16000,1,0.687865671641791
babylm3,20m,100,16000,2,0.6687910447761194
babylm3,20m,250,16000,0,0.6899850746268656
babylm3,20m,250,16000,1,0.7047014925373134
babylm3,20m,250,16000,2,0.7039701492537314
babylm3,20m,500,16000,0,0.7056865671641791
babylm3,20m,500,16000,1,0.7124029850746268
babylm3,20m,500,16000,2,0.7019552238805971
babylm3,20m,750,16000,0,0.7004477611940298
babylm3,20m,750,16000,1,0.7103134328358209
babylm3,20m,750,16000,2,0.6836567164179105
babylm3,20m,1000,16000,0,0.7085970149253731
babylm3,20m,1000,16000,1,0.7204776119402985
babylm3,20m,1000,16000,2,0.6946268656716418
babylm3,20m,1250,16000,0,0.7067313432835821
babylm3,20m,1250,16000,1,0.7234029850746269
babylm3,20m,1250,16000,2,0.6914626865671641
babylm3,20m,1500,16000,0,0.7131492537313433
babylm3,20m,1500,16000,1,0.7200149253731343
babylm3,20m,1500,16000,2,0.7029850746268657
babylm3,20m,1750,16000,0,0.6914776119402986
babylm3,20m,1750,16000,1,0.7086567164179104
babylm3,20m,1750,16000,2,0.6752686567164179
babylm3,20m,2000,16000,0,0.6949253731343283
babylm3,20m,2000,16000,1,0.7143731343283583
babylm3,20m,2000,16000,2,0.6815223880597014
babylm3,20m,final,16000,0,0.7025074626865672
babylm3,20m,final,16000,1,0.715865671641791
babylm3,20m,final,16000,2,0.6883134328358209
babylm3,180m,25,16000,0,0.5325671641791044
babylm3,180m,25,16000,1,0.5502985074626866
babylm3,180m,25,16000,2,0.5445223880597015
babylm3,180m,50,16000,0,0.5850597014925373
babylm3,180m,50,16000,1,0.5983880597014926
babylm3,180m,50,16000,2,0.5821044776119403
babylm3,180m,75,16000,0,0.6318955223880597
babylm3,180m,75,16000,1,0.6291791044776119
babylm3,180m,75,16000,2,0.6165373134328358
babylm3,180m,100,16000,1,0.6548358208955224
babylm3,180m,100,16000,2,0.6424179104477612
babylm3,180m,250,16000,0,0.7199701492537314
babylm3,180m,250,16000,1,0.7108955223880598
babylm3,180m,250,16000,2,0.7101492537313433
babylm3,180m,500,16000,0,0.7292835820895522
babylm3,180m,500,16000,1,0.7201044776119403
babylm3,180m,500,16000,2,0.7216268656716418
babylm3,180m,750,16000,0,0.7243582089552238
babylm3,180m,750,16000,1,0.7157462686567164
babylm3,180m,750,16000,2,0.7227164179104477
babylm3,180m,1000,16000,0,0.7247462686567164
babylm3,180m,1000,16000,1,0.7189104477611941
babylm3,180m,1000,16000,2,0.7153582089552238
babylm3,180m,1250,16000,0,0.714820895522388
babylm3,180m,1250,16000,1,0.7153283582089552
babylm3,180m,1250,16000,2,0.7084626865671642
babylm3,180m,1500,16000,0,0.6987761194029851
babylm3,180m,1500,16000,1,0.7074925373134329
babylm3,180m,1500,16000,2,0.7044029850746268
babylm3,180m,1750,16000,0,0.7091492537313433
babylm3,180m,1750,16000,1,0.6899701492537313
babylm3,180m,1750,16000,2,0.6902835820895522
babylm3,180m,2000,16000,0,0.7008507462686567
babylm3,180m,2000,16000,1,0.6991492537313433
babylm3,180m,2000,16000,2,0.694865671641791
babylm3,180m,final,16000,0,0.7318805970149254
babylm3,180m,final,16000,1,0.7224925373134329
babylm3,180m,final,16000,2,0.7311492537313433
hybrid_3.7B,60m,25,8000,0,0.5532388059701493
hybrid_3.7B,60m,25,8000,1,0.5564179104477612
hybrid_3.7B,60m,25,8000,2,0.5622238805970149
hybrid_3.7B,60m,50,8000,0,0.6316268656716418
hybrid_3.7B,60m,50,8000,1,0.636179104477612
hybrid_3.7B,60m,50,8000,2,0.6454328358208955
hybrid_3.7B,60m,75,8000,0,0.6653880597014925
hybrid_3.7B,60m,75,8000,1,0.6586567164179105
hybrid_3.7B,60m,75,8000,2,0.6776865671641791
hybrid_3.7B,60m,100,8000,0,0.6785522388059702
hybrid_3.7B,60m,100,8000,1,0.679089552238806
hybrid_3.7B,60m,100,8000,2,0.6866417910447761
hybrid_3.7B,60m,250,8000,0,0.7104925373134329
hybrid_3.7B,60m,250,8000,1,0.7038358208955224
hybrid_3.7B,60m,250,8000,2,0.7290298507462687
hybrid_3.7B,60m,500,8000,0,0.724313432835821
hybrid_3.7B,60m,500,8000,1,0.7156417910447761
hybrid_3.7B,60m,500,8000,2,0.7307910447761194
hybrid_3.7B,60m,750,8000,0,0.7361791044776119
hybrid_3.7B,60m,750,8000,1,0.7595074626865672
hybrid_3.7B,60m,750,8000,2,0.7388358208955224
hybrid_3.7B,60m,1000,8000,0,0.7244776119402985
hybrid_3.7B,60m,1000,8000,1,0.7322686567164179
hybrid_3.7B,60m,1000,8000,2,0.7266417910447761
hybrid_3.7B,60m,1250,8000,0,0.7188059701492537
hybrid_3.7B,60m,1250,8000,1,0.7501641791044776
hybrid_3.7B,60m,1250,8000,2,0.7380597014925373
hybrid_3.7B,60m,1500,8000,0,0.7284626865671642
hybrid_3.7B,60m,1500,8000,1,0.759044776119403
hybrid_3.7B,60m,1500,8000,2,0.7407313432835821
hybrid_3.7B,60m,1750,8000,0,0.739089552238806
hybrid_3.7B,60m,1750,8000,1,0.7437462686567164
hybrid_3.7B,60m,1750,8000,2,0.7387611940298507
hybrid_3.7B,60m,2000,8000,0,0.7352238805970149
hybrid_3.7B,60m,2000,8000,1,0.7492835820895523
hybrid_3.7B,60m,2000,8000,2,0.7663731343283582
hybrid_3.7B,60m,final,8000,0,0.7495223880597015
hybrid_3.7B,60m,final,8000,1,0.7705074626865671
hybrid_3.7B,60m,final,8000,2,0.7685373134328358
hybrid_3.7B,60m,25,16000,0,0.5679701492537313
hybrid_3.7B,60m,25,16000,1,0.5713432835820895
hybrid_3.7B,60m,25,16000,2,0.5786865671641791
hybrid_3.7B,60m,50,16000,0,0.6306119402985074
hybrid_3.7B,60m,50,16000,1,0.6408358208955224
hybrid_3.7B,60m,50,16000,2,0.6399850746268657
hybrid_3.7B,60m,75,16000,0,0.6536268656716417
hybrid_3.7B,60m,75,16000,1,0.6666268656716418
hybrid_3.7B,60m,75,16000,2,0.665089552238806
hybrid_3.7B,60m,100,16000,0,0.6931492537313433
hybrid_3.7B,60m,100,16000,1,0.6893731343283582
hybrid_3.7B,60m,100,16000,2,0.678955223880597
hybrid_3.7B,60m,250,16000,0,0.7092089552238806
hybrid_3.7B,60m,250,16000,1,0.7125970149253731
hybrid_3.7B,60m,250,16000,2,0.7268358208955223
hybrid_3.7B,60m,500,16000,0,0.7477910447761194
hybrid_3.7B,60m,500,16000,1,0.742955223880597
hybrid_3.7B,60m,500,16000,2,0.7451940298507462
hybrid_3.7B,60m,750,16000,0,0.7486716417910447
hybrid_3.7B,60m,750,16000,1,0.7534626865671642
hybrid_3.7B,60m,750,16000,2,0.7382537313432835
hybrid_3.7B,60m,1000,16000,0,0.7432985074626866
hybrid_3.7B,60m,1000,16000,1,0.7601641791044776
hybrid_3.7B,60m,1000,16000,2,0.7435373134328358
hybrid_3.7B,60m,1250,16000,0,0.7389850746268657
hybrid_3.7B,60m,1250,16000,1,0.7691343283582089
hybrid_3.7B,60m,1250,16000,2,0.7454029850746269
hybrid_3.7B,60m,1500,16000,0,0.7427462686567164
hybrid_3.7B,60m,1500,16000,1,0.7757611940298508
hybrid_3.7B,60m,1500,16000,2,0.7414626865671642
hybrid_3.7B,60m,1750,16000,0,0.7516567164179104
hybrid_3.7B,60m,1750,16000,1,0.7751641791044777
hybrid_3.7B,60m,1750,16000,2,0.7607014925373135
hybrid_3.7B,60m,2000,16000,0,0.7496417910447761
hybrid_3.7B,60m,2000,16000,1,0.7811641791044777
hybrid_3.7B,60m,2000,16000,2,0.7493134328358209
hybrid_3.7B,60m,final,16000,0,0.7724925373134328
hybrid_3.7B,60m,final,16000,1,0.765179104477612
hybrid_3.7B,60m,final,16000,2,0.78
hybrid_3.7B,60m,25,32000,0,0.5962388059701492
hybrid_3.7B,60m,25,32000,1,0.5845820895522388
hybrid_3.7B,60m,25,32000,2,0.5820597014925373
hybrid_3.7B,60m,50,32000,0,0.6383582089552239
hybrid_3.7B,60m,50,32000,1,0.6518208955223881
